anio,periodo_cubierto,clasificacion,canal,monto_millones_usd,pct_del_total_anual,total_remesas_anio_millones_usd,desglose_disponible,serie_bcr,fuente,unidad,url_fuente,datos_actualizados_hasta,fecha_publicacion_ultimo_dato,fecha_consulta,nota
2024,Enero-Diciembre,Agente liquidador (canal de recepcion),Otras empresas remesadoras,4836.59,57.04,8479.70,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2024,Enero-Diciembre,Agente liquidador (canal de recepcion),Recargas a telefonos moviles,16.32,0.19,8479.70,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2025,Enero-Diciembre,Agente liquidador (canal de recepcion),Billeteras digitales de criptomonedas,57.67,0.58,9987.91,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2025,Enero-Diciembre,Agente liquidador (canal de recepcion),Efectivo o bolsillo,391.71,3.92,9987.91,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2025,Enero-Diciembre,Agente liquidador (canal de recepcion),Instituciones bancarias,3981.29,39.86,9987.91,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2025,Enero-Diciembre,Agente liquidador (canal de recepcion),Otras empresas remesadoras,5541.20,55.48,9987.91,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2025,Enero-Diciembre,Agente liquidador (canal de recepcion),Recargas a telefonos moviles,16.04,0.16,9987.91,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2026,Enero-Junio,Agente liquidador (canal de recepcion),Billeteras digitales de criptomonedas,35.37,0.70,5060.60,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,ANIO INCOMPLETO: acumulado enero-junio 2026; cifras preliminares (p); Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2026,Enero-Junio,Agente liquidador (canal de recepcion),Efectivo o bolsillo,194.31,3.84,5060.60,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,ANIO INCOMPLETO: acumulado enero-junio 2026; cifras preliminares (p); Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
2026,Enero-Junio,Agente liquidador (canal de recepcion),Instituciones bancarias,2076.98,41.04,5060.60,Si,Monto de remesas familiares por agente liquidador,"Base de Datos Economica y Financiera (BDEF), Banco Central de Reserva de El Salvador",Millones de US$,https://estadisticas.bcr.gob.sv/serie/ingresos-de-remesas-familiares-por-agente-liquidador-2,Junio 2026,2026-07-24,2026-07-31,ANIO INCOMPLETO: acumulado enero-junio 2026; cifras preliminares (p); Sujeto a revision: el BCR revisa hasta 3 anios previos cada enero
